Company,Title,Price,Change,% Change,Volume,YTD Change
3M,MMM,218.37,+0.81,+0.37%,"22,889",-7.22%
American Express,AXP,94.18,+0.95,+1.02%,"41,327",-5.17%
Apple,AAPL,172.43,+0.82,+0.48%,"423,442",+1.89%
Boeing,BA,335.42,+7.98,+2.44%,"101,511",+13.74%
Caterpillar,CAT,147.02,+1.84,+1.27%,"146,540",-6.70%
Chevron,CVX,116.82,+2.34,+2.04%,"83,473",-6.69%
Cisco,CSCO,41.54,+0.34,+0.83%,"478,925",+8.46%
Coca-Cola,KO,44.30,+0.06,+0.14%,"137,670",-3.44%
Disney,DIS,101.20,+0.25,+0.25%,"96,418",-5.87%
DowDuPont Inc,DWDP,64.67,+0.98,+1.54%,"175,926",-9.20%
Exxon Mobil,XOM,75.97,+1.10,+1.47%,"214,794",-9.17%
General Electric,GE,13.38,+0.11,+0.79%,"456,963",-23.30%
Goldman Sachs,GS,254.59,+1.97,+0.78%,"35,335",-0.07%
Home Depot,HD,178.56,+1.12,+0.63%,"58,377",-5.79%
IBM,IBM,153.56,-0.56,-0.36%,"55,894",+0.09%
Intel,INTC,50.48,+0.49,+0.98%,"673,937",+9.36%
Johnson & Johnson,JNJ,130.30,-0.11,-0.08%,"76,326",-6.74%
JPMorgan Chase,JPM,111.56,+1.13,+1.02%,"368,680",+4.32%
McDonald's,MCD,163.86,+2.13,+1.32%,"89,572",-4.80%
Merck,MRK,55.17,+0.63,+1.16%,"161,042",-1.95%
Microsoft,MSFT,92.12,-0.21,-0.23%,"622,547",+7.69%
Nike,NKE,68.88,+0.46,+0.67%,"161,286",+10.12%
Pfizer,PFE,35.92,-0.21,-0.58%,"335,828",-0.83%
Procter & Gamble,PG,79.10,+0.05,+0.06%,"148,763",-13.91%
Travelers Companies Inc,TRV,138.92,+0.29,+0.21%,"17,613",+2.42%
United Technologies,UTX,125.71,-0.06,-0.05%,"38,083",-1.46%
UnitedHealth,UNH,230.32,+1.53,+0.67%,"56,960",+4.47%
Verizon,VZ,47.84,-0.09,-0.19%,"128,319",-9.62%
Visa,V,120.99,+1.18,+0.98%,"141,021",+6.11%
Wal-Mart,WMT,87.64,+0.42,+0.48%,"86,007",-11.25%
